Movie,Year,Actor in a Leading Role,Actress in a Leading Role,Actor in a Supporting Role,Actress in a Supporting Role,Art Direction,Cinematography,Costume Design,Directing,Film Editing,Makeup,Original Score,Original Song,Sound Editing,Sound Mixing,Visual Effects,Adapted Screenplay,Original Screenplay,BestPicture
Frost/Nixon,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milk,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SlumdogMillionaire,2008,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1
TheCuriousCaseofBenjaminButton,2008,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
TheReader,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atonement,2007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Juno,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MichaelClayton,2007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NoCountryforOldMen,2007,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
ThereWillBeBlood,2007,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Babel,2006,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LettersfromIwoJima,2006,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LittleMissSunshine,2006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TheDeparted,2006,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
TheQueen,2006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BrokebackMountain,2005,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Capote,2005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crash,2005,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"GoodNight,andGoodLuck",2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munich,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FindingNeverland,2004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MillionDollarBaby,2004,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Ray,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sideways,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TheAviator,2004,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
LordoftheRings:ReturnoftheKing,2003,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1
LostinTranslation,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MasterandCommander,2003,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
MysticRiver,2003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabiscuit,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicago,2002,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1
GangsofNewYork,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LordoftheRings:TheTwoTowers,2002,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
TheHours,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ThePianist,2002,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
