Date,GameNum,PlayerID,GroupID,Level,Season,Money,Plot,Crop,PriorHarvest,Water,Insects,Nitrates,PesticidesAdded,Yield,BuyPrice,SellPrice,Profit,NitrateAdded,Finished
7/14/2026 15:17,10407,test,test,3,2,4095.38,1,Tomato,None,35,0,300,0,5.21,40,12,-17.48,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,19,Tomato,None,25,0,300,0,2.32,40,12,-42.16,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,17,Beans,None,30,0,300,0,2.4,25,6,-45.6,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,16,Tomato,None,35,0,300,0,7.7,40,12,12.4,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,14,Beans,None,30,0,300,0,2.4,25,6,-45.6,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,12,Tomato,None,30,0,300,0,1.65,40,12,-55.2,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,11,Beans,None,35,0,300,0,2.5,25,6,-50,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,10,Beans,None,25,0,300,0,7.2,25,6,-11.8,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,9,Tomato,None,25,0,300,0,0,40,12,-70,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,8,Tomato,None,30,0,300,0,0,40,12,-75,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,6,Beans,None,25,0,300,0,4.64,25,6,-27.16,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,5,Tomato,None,25,0,300,0,0,40,12,-70,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,4,Beans,None,30,0,300,0,0.38,25,6,-57.72,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,40,Tomato,None,25,0,300,0,2.89,40,12,-35.32,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,20,Beans,None,25,0,300,0,7.35,25,6,-10.9,0,0
